address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
DcgVD4jqLqYJv8bycSSZuNzJscpBvV3zGoDbqR3JYXeP,9,2024-04-06 14:23:13+00:00,20057.340956870616,15792.546078492634,coorlin elysoon,GRIPPY,3.407427368848612,1936.5388478600676,https://birdeye.so/token/DcgVD4jqLqYJv8bycSSZuNzJscpBvV3zGoDbqR3JYXeP
7PzXVMYvt9Zxr1fXjAyW8ipdugKUzB59nKTNZD1ToMTP,9,2024-04-06 14:17:16+00:00,4888.363956679926,5195.194800917891,TypoKat,TKAT,-2.349285302224139,1456.7571331306435,https://birdeye.so/token/7PzXVMYvt9Zxr1fXjAyW8ipdugKUzB59nKTNZD1ToMTP
BAJGp6jjDVWpc6tNpmB1nGzRLxKs6ToZLgqR6rq1Jz6K,9,2024-04-06 14:03:11+00:00,3874.7598724158033,9372.331386719916,LaughingTrillionaires,LTRIL,-3.247968194926587,9193.873531522218,https://birdeye.so/token/BAJGp6jjDVWpc6tNpmB1nGzRLxKs6ToZLgqR6rq1Jz6K
Bgp45Q27KsThRpqQohibG87WJRxnhUZ4sfR7QNW2FKGF,6,2024-04-06 14:10:46+00:00,7834.469200389964,28633.498026710935,Drumming Biden,DBIDEN,-5.229293180490726,1592.169206575899,https://birdeye.so/token/Bgp45Q27KsThRpqQohibG87WJRxnhUZ4sfR7QNW2FKGF
DFSGTUMMRF4inj9epoGHRkRuvsuCGowsYYacZ1mHhYzY,9,2024-04-06 14:05:15+00:00,6300.996096878469,15419.530615764566,BCAT,BCAT,-7.347483380161105,5861.907375098029,https://birdeye.so/token/DFSGTUMMRF4inj9epoGHRkRuvsuCGowsYYacZ1mHhYzY
FfrAoVmuRCg2N1auL5kRHbjt18DAUVaAJ73txTUduuVL,9,2024-04-06 13:53:43+00:00,7400.003971425303,10490.342257435914,THIS IS FINE,TIF,-8.521894827044894,3513.218377905685,https://birdeye.so/token/FfrAoVmuRCg2N1auL5kRHbjt18DAUVaAJ73txTUduuVL
DeUKb2NxhFM7LUAZf3UxLVKcp76VpzjEmSvyHBJKWWMQ,9,2024-04-06 14:06:32+00:00,14316.465696400377,23279.545905664538,Zlonskyy,Zlonskyy,-10.230583186206305,3452.446500972329,https://birdeye.so/token/DeUKb2NxhFM7LUAZf3UxLVKcp76VpzjEmSvyHBJKWWMQ
J4fBj7uJitxanpDTML6PMaPcDPEtDCETk4qDAgRjFfza,6,2024-04-06 14:02:53+00:00,6061.957585140108,6419.143353179935,Ansem's Kid,ZOJO,-10.394294081670614,1486.4851706591382,https://birdeye.so/token/J4fBj7uJitxanpDTML6PMaPcDPEtDCETk4qDAgRjFfza
CnkT6C7s8S3pZmmk4xqpc1zVJpNAr8ECyqFqne2tKP5o,4,2024-04-06 14:00:56+00:00,5380.072556682553,5653.83258027184,Bornie Sendars,bornie,-13.76567310958726,36006.71294668389,https://birdeye.so/token/CnkT6C7s8S3pZmmk4xqpc1zVJpNAr8ECyqFqne2tKP5o
Dc2tsJURkikyEVH61LtvL3kLo4vtPEYwEQY9vszNkiYE,9,2024-04-06 13:58:16+00:00,4919.443671612597,8500.431426260613,LIONEL MEOWSSI,MEOWSSI,-14.095971051567984,2323.27701658612,https://birdeye.so/token/Dc2tsJURkikyEVH61LtvL3kLo4vtPEYwEQY9vszNkiYE
4mBSU1zYPn9bz1FfVVtXjaRWYe1E9cVGqwDv3NAN3T42,6,2024-04-06 14:18:25+00:00,3175.9499138680467,1456.1779606417417,houbes,houbes,-14.20974854789139,2259.9810156816425,https://birdeye.so/token/4mBSU1zYPn9bz1FfVVtXjaRWYe1E9cVGqwDv3NAN3T42
AcLNcm1ZKs1dwVGsYUbcUMa7pxxdJPaH4iYFhpDT5pUJ,6,2024-04-06 14:22:10+00:00,21157.594016589617,26747.54932748935,Soltap,SOLTAP,-16.47264634702931,60982.70334714286,https://birdeye.so/token/AcLNcm1ZKs1dwVGsYUbcUMa7pxxdJPaH4iYFhpDT5pUJ
o7BauRkoTsSuoY7duEYax8KJHqU5JRy3PQsYgmEVhVn,9,2024-04-06 14:12:45+00:00,10116.350573762384,28333.707377463255,BYTE TYSON,BTC,-16.473477863506226,1817.638498257793,https://birdeye.so/token/o7BauRkoTsSuoY7duEYax8KJHqU5JRy3PQsYgmEVhVn
2biAFVhHGr13P2wBKeRjnD1HUsBGFBvbHtMyooVZii7E,6,2024-04-06 14:18:48+00:00,19684.764526594343,29174.21106242209,Cat Wif Hoodie,CWH,-16.569170698695938,3320.403141821238,https://birdeye.so/token/2biAFVhHGr13P2wBKeRjnD1HUsBGFBvbHtMyooVZii7E
5hk3vQi6Sb2Z6LTTtfioLHPVCo3K2gaGkHYCQtSTsTAd,6,2024-04-06 13:51:18+00:00,5177.662680765827,8556.179057563206,Beanie Cat,BEANIE,-17.021061924629365,1616.9755505336561,https://birdeye.so/token/5hk3vQi6Sb2Z6LTTtfioLHPVCo3K2gaGkHYCQtSTsTAd
Dj8y4pNJ2E18uRiGd8MxMjD1zbFsVUKeLtKjGiHszfDm,9,2024-04-06 14:23:03+00:00,7489.1207442664645,28381.851499327422,Sleepy Joe,SPJOE,-17.97975424152594,56689.49436115031,https://birdeye.so/token/Dj8y4pNJ2E18uRiGd8MxMjD1zbFsVUKeLtKjGiHszfDm
6gx6Ph2ek73kF6EWDrG4GQ54pcLJB6CYpATuRyxKXumo,9,2024-04-06 14:10:39+00:00,20798.10732543327,12206.826180653667,FillmorePHX,fPHX,-19.499047852443365,3027.556685496514,https://birdeye.so/token/6gx6Ph2ek73kF6EWDrG4GQ54pcLJB6CYpATuRyxKXumo
5i6dWTvHVnc5JYt6DowEaMpSJgQuNMrt2fkadpJwcYQx,6,2024-04-06 14:21:22+00:00,16974.632087705646,19000.397045486847,monster cat,mc,-22.789962558319303,13292.014059815194,https://birdeye.so/token/5i6dWTvHVnc5JYt6DowEaMpSJgQuNMrt2fkadpJwcYQx
CscYwyeouCVskShKVoozWJZu2kGCFj2LwrzAgy5uLN66,6,2024-04-06 14:21:27+00:00,16054.63121066027,20168.130408439694,The High Cat,THC,-22.921049840458714,1085.6844639692927,https://birdeye.so/token/CscYwyeouCVskShKVoozWJZu2kGCFj2LwrzAgy5uLN66
HcuSvWb7zJatFyy1PsNBBQTJuFh4fo23X3yfyNv8U5TV,9,2024-04-06 14:08:04+00:00,17622.69573636925,24872.978437584134,SolTeer,TEER,-24.049982058465293,3027.5003634984523,https://birdeye.so/token/HcuSvWb7zJatFyy1PsNBBQTJuFh4fo23X3yfyNv8U5TV
392JKDQyhZRZpkZbLZUSLEswnwVD7NniQGVKLuiuRSsx,6,2024-04-06 14:07:42+00:00,5525.016754939841,19669.768046385536,TOWEL,TOWEL,-24.10188400285186,4623.94920056724,https://birdeye.so/token/392JKDQyhZRZpkZbLZUSLEswnwVD7NniQGVKLuiuRSsx
